SYMBOL,VOLUME,PERCENTAGE,% Change From Yesterday
Silver,64215383,29.46,-36.41865714489879
Gold,62957415,28.88,1.4548965237621039
Largecap Stocks,9298949,4.27,-25.274126287499556
Metal Sector,8234567,3.78,-36.68428578963807
IT Sector,7977774,3.66,-21.12765926104469
Midcap Stocks,7707741,3.54,-5.172492701309151
SILVERCASE,6708987,3.08,-40.648061787000174
Pharma Sector,4396582,2.02,33.03910850178638
PSU Bank Sector,2635210,1.21,-42.71170522901535
Smallcap Stocks,2375132,1.09,-29.21689628422769
Banking & Finance Sector,2030493,0.93,-57.39036769270092
Gsecs - Bonds,1797723,0.82,-35.6088728741923
Oil and Gas Sector,1763079,0.81,19.723554876496053
Low Volatility Index,1708620,0.78,-39.813630858908546
USA Market,1434177,0.66,-7.9268179159746515
Public Sector Enterprise,1201388,0.55,10.667743816444835
Defence Sector,944867,0.43,-40.59771511054781
China Market,609347,0.28,-9.358837240782252
Reality Sector,601856,0.28,32.95631273858334
Auto Sector,600657,0.28,-1.1451330200867325
SML100CASE,448923,0.21,29.755157134722825
AONEGOLD,427845,0.2,50.65654413758376
ELM250,424541,0.19,1458.9784077555817
FMCG Sector,385543,0.18,-43.03493172341853
EV Sector,383378,0.18,47.68482850010786
Capital Markets & Insurance,346341,0.16,-18.792512819791366
SILVERAG,329465,0.15,-23.24779037315554
GROWWPOWER,327183,0.15,-85.19584846855946
Consumption Sector,305192,0.14,39.01113666902002
CHOICEGOLD,303419,0.14,7.99750845346147
NBFC Sector,297991,0.14,-47.58588786559068
Healthcare Sector,258307,0.12,15.003984737786444
FLEXIADD,251524,0.12,229.00027468574643
GROWWSLVR,238796,0.11,-56.42965314649588
GROWWNIFTY,207207,0.1,-6.540163368770495
MOENERGY,196783,0.09,112.77058149341521
AONENIFTY,173701,0.08,11.90560555594926
NIFTYCASE,170635,0.08,-50.597285434689454
TOP15IETF,141862,0.07,201.60302746832213
LTGILTCASE,139616,0.06,49.77043552885647
GROWWMOM50,118813,0.05,-11.962981075593888
GROWWNET,110791,0.05,11.431732461654514
AONETMMQ50,109305,0.05,-24.305589219060547
MID150,108065,0.05,218.20323312034392
GROWWSC250,89377,0.04,-67.71563666048988
EVIETF,77048,0.04,26.81545855553361
INTERNET,76272,0.03,20.62437728329459
CASHIETF,69829,0.03,-28.095105701605345
Infra Sector,69796,0.03,-84.15912593308776
CHEMICAL,63163,0.03,-34.13934768101435
GROWWRLTY,57330,0.03,-75.85454606715074
Commodities,53873,0.02,-54.044647655443626
MOSILVER,45663,0.02,-29.38529343539782
SMALL250,41967,0.02,-68.82488838705363
MOMIDMTM,35950,0.02,6.000294854784019
SBIBPB,35148,0.02,25.730638526202824
SILVER360,33428,0.02,-43.42196570925647
LIQGRWBEES,30509,0.01,23.824018831933113
MOGOLD,25085,0.01,-23.781599416626154
Manufacturing Sector,15685,0.01,-15.33520457735075
GROWWLOVOL,15501,0.01,-29.60490463215259
AXISVALUE,14464,0.01,-40.71888192139022
ENERGY,14286,0.01,-98.19044989220725
AONELIQUID,11824,0.01,-21.099693046843722
MOTOUR,11419,0.01,31.78303519907675
MONIFTY100,10481,0.0,75.56113902847571
MON50EQUAL,8534,0.0,341.2616339193382
ENIFTY,5019,0.0,-22.713273791191867
Select IPO Index,4211,0.0,19.325587985264946
MOIPO,3898,0.0,397.1938775510204
MOMENTUM30,3739,0.0,-93.15000732815477
MOINFRA,3374,0.0,252.56008359456638
MOALPHA50,2735,0.0,229.91556091676716
ELIQUID,2604,0.0,23572.727272727272
MANUFGBEES,2535,0.0,-82.45431893687709
MONEXT50,2229,0.0,47.42063492063492
ESENSEX,2028,0.0,12.60410882842865
MOPSE,1927,0.0,727.0386266094421
MOSERVICE,1778,0.0,-76.45344987418885
GROWWNXT50,1681,0.0,-81.89553042541733
SNXT30BEES,1635,0.0,-85.81467985424258
SBILIQETF,1590,0.0,-90.62389432716122
GROWWMC150,1078,0.0,-24.825662482566248
EQUAL50,1075,0.0,886.2385321100918
QUALITY30,108,0.0,-96.76646706586827
MOMGF,69,0.0,-95.55412371134021
