SYMBOL,VOLUME,PERCENTAGE,% Change From Yesterday
Gold,116335917,35.12,14.223061078698828
Silver,103989434,31.39,10.73765962951401
Midcap Stocks,15573017,4.7,88.96723988972373
Largecap Stocks,10352756,3.13,-0.8269976100400351
PSU Bank Sector,8215091,2.48,99.37978163362435
SILVERCASE,8128751,2.45,-14.305242921347746
Metal Sector,7733780,2.33,-8.726422387045439
IT Sector,7667414,2.31,-47.42689925756418
Low Volatility Index,5467958,1.65,-33.2374295724562
Pharma Sector,3766043,1.14,-30.63683900618423
Smallcap Stocks,3094252,0.93,-1.5676320672517625
Banking & Finance Sector,2853459,0.86,22.89094827437699
Defence Sector,2572201,0.78,7.814380945674516
Gsecs - Bonds,2502886,0.76,40.0465873350265
China Market,2481459,0.75,491.3924346275942
Oil and Gas Sector,2208004,0.67,49.37941355155678
Public Sector Enterprise,2091412,0.63,15.978474731544146
USA Market,1640763,0.5,-18.84293171187008
CASHIETF,1518527,0.46,183.81984628956772
Auto Sector,811377,0.24,13.422193021695369
FMCG Sector,717522,0.22,-6.621047946506889
Capital Markets & Insurance,700208,0.21,33.924978387104176
AONEGOLD,664665,0.2,94.92271011674863
GROWWSLVR,537189,0.16,8.372184978887972
SILVERAG,443208,0.13,5.517172419375575
Reality Sector,431423,0.13,23.50543205988864
EV Sector,383567,0.12,8.30208603923606
GROWWPOWER,363034,0.11,64.01274029230387
NBFC Sector,326263,0.1,-27.21259322551931
Healthcare Sector,298041,0.09,-90.62181700899143
Consumption Sector,251653,0.08,-65.65223800333578
GROWWMOM50,243116,0.07,97.49311540929806
AONENIFTY,242093,0.07,148.61414913172516
GROWWNIFTY,221496,0.07,119.22700054436581
GROWWSC250,221125,0.07,121.73477061920282
SML100CASE,215451,0.07,5.1898975202738
GROWWNET,192519,0.06,0.819041135346024
NIFTYCASE,187412,0.06,-48.957981545433746
TOP15IETF,165455,0.05,329.74208462117866
EVIETF,163676,0.05,251.5831077888044
SBIBPB,131037,0.04,58.211388003477246
INTERNET,111089,0.03,-26.78459622089383
Infra Sector,104795,0.03,23.073941842439048
LIQGRWBEES,100744,0.03,317.55709371243836
FLEXIADD,93268,0.03,76.35002268945696
MOGOLD,66113,0.02,-92.5342105322592
MOMIDMTM,64279,0.02,-0.8346189447701327
Commodities,60947,0.02,-22.32785757069851
GROWWRLTY,52151,0.02,-81.70506249627267
MOENERGY,46675,0.01,-87.02802003257239
MOSILVER,42299,0.01,-84.881335334906
GROWWNXT50,33855,0.01,708.1881117211746
CHOICEGOLD,29593,0.01,26.36320935992143
MOALPHA50,27510,0.01,748.0271270036991
MON50EQUAL,26128,0.01,139.92653810835628
GROWWMC150,24018,0.01,
LTGILTCASE,23235,0.01,-62.64229210881729
AONELIQUID,22431,0.01,83.77027691299361
GROWWLOVOL,21578,0.01,44.228326983490405
AXISVALUE,20894,0.01,-79.39732186877552
SILVER360,18623,0.01,-48.29529679604642
Manufacturing Sector,18391,0.01,-15.127601642899997
MID150,17724,0.01,-69.92976146041872
ENERGY,15048,0.0,90.12002526847758
MOMENTUM30,11970,0.0,58.27052756842522
QUALITY30,10324,0.0,196.49626651349797
SMALL250,10194,0.0,-87.13301189003609
Select IPO Index,8657,0.0,23.10864618885097
MONIFTY100,7622,0.0,-37.36028928336621
ELM250,7193,0.0,94.93224932249322
SBILIQETF,4593,0.0,344.19729206963245
MOPSE,4004,0.0,-52.33900726104035
MOTOUR,3979,0.0,-61.00548804390436
MONEXT50,3108,0.0,-7.306889352818372
SNXT30BEES,2380,0.0,-74.76942648150111
MOINFRA,1955,0.0,-40.75757575757576
ELIQUID,1640,0.0,163900.0
MANUFGBEES,1495,0.0,63.74589266155532
MOMGF,369,0.0,14.596273291925465
EQUAL50,265,0.0,7.723577235772358
