SYMBOL,VOLUME,PERCENTAGE,% Change From Yesterday
Gold,41180077,20.04,-3.8566867759439143
Midcap Stocks,28252085,13.75,7.030096877251372
Largecap Stocks,18831777,9.16,37.41358190853468
Silver,13224465,6.43,-28.65694351392012
IT Sector,11967176,5.82,0.2010354708290917
Low Volatility Index,11434145,5.56,18.23535403201331
PSU Bank Sector,9444720,4.6,105.80552207076346
Gsecs - Bonds,8572736,4.17,124.1220591733921
Public Sector Enterprise,7766616,3.78,4.300601487139316
Banking & Finance Sector,7262109,3.53,22.42836438193907
Oil and Gas Sector,7255274,3.53,107.04367072424594
Smallcap Stocks,4864938,2.37,36.12837026940889
Defence Sector,4106914,2.0,139.076807725131
Metal Sector,3299214,1.61,-45.123785324999474
China Market,2579803,1.26,-32.32561629052051
Pharma Sector,2346914,1.14,-30.955897235545805
Auto Sector,2196122,1.07,338.8031489769821
USA Market,1595836,0.78,18.720925820809693
FMCG Sector,880825,0.43,-41.496201479025444
EV Sector,759037,0.37,31.701117236042357
Reality Sector,473191,0.23,129.622997675581
Healthcare Sector,349869,0.17,91.7521196542785
NBFC Sector,332671,0.16,-15.424920680117149
Consumption Sector,310893,0.15,-48.506676560320926
Infra Sector,194733,0.09,114.40934565033088
Commodities,147337,0.07,39.690350228492335
Capital Markets & Insurance,79872,0.04,70.29187898428671
Select IPO Index,43098,0.02,-62.66243892296497
AXISVALUE,22185,0.01,
Manufacturing Sector,16486,0.01,-56.14492445201107
CASHIETF,1501,0.0,-98.09295116125426
