SYMBOL,VOLUME,PERCENTAGE,% Change From Yesterday
Gold,107356586,32.81,27.882053261686295
Silver,80211576,24.52,27.56055528542525
Low Volatility Index,26475395,8.09,231.5592620621589
Metal Sector,19540234,5.97,6.127254830918334
IT Sector,14936594,4.57,84.83724178759313
Midcap Stocks,12521548,3.83,-15.787631633653154
Largecap Stocks,10446316,3.19,-5.352581773176523
SILVERCASE,6768461,2.07,-30.122357041143545
Defence Sector,5021700,1.53,76.55186476908365
PSU Bank Sector,3542566,1.08,-57.15706730744229
MOSILVER,3061958,0.94,5353.369665883024
Banking & Finance Sector,2768559,0.85,-79.31540028834547
Pharma Sector,2287792,0.7,-17.275902354994578
Smallcap Stocks,1714320,0.52,-61.99486605247587
Public Sector Enterprise,1650108,0.5,27.0684230223672
Gsecs - Bonds,1556894,0.48,-22.144127682322413
AONEGOLD,1531961,0.47,295.4478457610887
Oil and Gas Sector,1351314,0.41,-4.450335265330885
USA Market,1202169,0.37,-48.40963514174627
NBFC Sector,1012435,0.31,60.1447326795318
Reality Sector,909178,0.28,248.58713739082424
GROWWSLVR,754631,0.23,112.26418013304642
Auto Sector,575220,0.18,-41.001443116886314
SILVERAG,564804,0.17,26.733712993254976
FMCG Sector,549719,0.17,94.17701040614337
EV Sector,500107,0.15,1.9137342169401446
Healthcare Sector,383736,0.12,24.450209992054354
GROWWPOWER,371842,0.11,61.96408270647217
NIFTYCASE,365262,0.11,94.32344147345798
Capital Markets & Insurance,349894,0.11,-46.224839048290896
Consumption Sector,328342,0.1,-18.3308087026383
Infra Sector,306230,0.09,-42.74747792011606
GROWWMOM50,292289,0.09,79.80376476377953
China Market,272548,0.08,-76.13523727466
GROWWSC250,231320,0.07,122.64786563357235
AONENIFTY,202548,0.06,-17.942609900460628
GROWWNIFTY,182955,0.06,43.80428374926312
SML100CASE,161033,0.05,-1.9454660593808608
LTGILTCASE,147749,0.05,134.64885811390275
GROWWNET,138752,0.04,-23.009227661900244
SBILIQETF,108957,0.03,1988.4991374353078
CHOICEGOLD,91178,0.03,-39.50142988899284
FLEXIADD,82896,0.03,15.647321428571429
CASHIETF,70518,0.02,-87.84400862596512
MOMIDMTM,66265,0.02,119.28257056818559
EVIETF,64429,0.02,-46.79598341838842
GROWWRLTY,63858,0.02,-21.37554020610941
AXISVALUE,61069,0.02,151.04415029186876
GROWWLOVOL,55992,0.02,114.96525511575229
TOP15IETF,53626,0.02,-89.43336295548991
SILVER360,46845,0.01,-72.68130817140592
INTERNET,46796,0.01,12.859347868030099
MOENERGY,40987,0.01,-23.667008101312973
QUALITY30,40205,0.01,233.45774239031266
MOGOLD,40032,0.01,-98.7538634373534
LIQGRWBEES,38980,0.01,-27.13065260875255
SBIBPB,36815,0.01,-59.316396105690075
Commodities,31131,0.01,5.679272184126553
MOTOUR,22216,0.01,24.48030481313386
ELM250,21800,0.01,-88.05577623756952
Select IPO Index,20188,0.01,72.2966629683366
AONELIQUID,18452,0.01,-78.8411480729758
Manufacturing Sector,8357,0.0,-59.69616590306246
MOMENTUM30,8296,0.0,-16.168148746968473
SNXT30BEES,7906,0.0,170.0136612021858
MID150,7439,0.0,-83.59032051706262
MONIFTY100,6850,0.0,37.77152051488334
GROWWNXT50,3693,0.0,-64.55173737761567
MOINFRA,2963,0.0,-15.75206141597953
MOALPHA50,2082,0.0,50.542299349240785
MON50EQUAL,1998,0.0,-85.59584745151756
MONEXT50,1929,0.0,23.653846153846153
MOMGF,1362,0.0,-69.12964641885766
MOPSE,985,0.0,-77.01819878674755
EQUAL50,929,0.0,1964.4444444444446
MANUFGBEES,517,0.0,-57.65765765765766
ELIQUID,2,0.0,-96.96969696969697
