SYMBOL,VOLUME,PERCENTAGE,% Change From Yesterday
Silver,135201638,34.93,19.770153230146395
Gold,91679069,23.69,-11.041338465741319
Midcap Stocks,24263841,6.27,204.761783345408
IT Sector,18011495,4.65,115.47206237619758
Largecap Stocks,15768443,4.07,15.122745229454182
SILVERCASE,14287320,3.69,7.134276651744539
PSU Bank Sector,9264073,2.39,76.96434800116295
Metal Sector,8673669,2.24,45.42470614252534
Pharma Sector,7601729,1.96,224.12317972678366
Low Volatility Index,6248972,1.61,102.93627272367094
Defence Sector,3309527,0.86,91.89390403353694
Smallcap Stocks,2629554,0.68,-27.396608211483443
Banking & Finance Sector,2332058,0.6,-59.72142844435832
Public Sector Enterprise,2028189,0.52,25.35160692212608
Gsecs - Bonds,1878933,0.49,-60.654548226281904
Auto Sector,1805270,0.47,28.424709913829595
Commodities,1393864,0.36,3198.0715992712303
USA Market,1387071,0.36,-10.35012076584353
GROWWSLVR,1319032,0.34,31.332036971212197
Oil and Gas Sector,1200731,0.31,-19.32533886245416
China Market,1140044,0.29,179.3219109781525
Capital Markets & Insurance,996002,0.26,112.70050078481202
NBFC Sector,800723,0.21,82.25837290079984
Infra Sector,764259,0.2,611.547556978996
Reality Sector,724895,0.19,76.91843976823989
FMCG Sector,680341,0.18,-2.677599458700911
SILVERAG,674647,0.17,74.3341473183715
AONEGOLD,526885,0.14,-19.614768479670456
GROWWPOWER,480768,0.12,-79.77801444571752
SML100CASE,471029,0.12,-21.630875866624297
Consumption Sector,341804,0.09,-0.31817320170897795
NIFTYCASE,276031,0.07,28.13500942336437
EV Sector,266908,0.07,-18.7650465816297
SBIBPB,256684,0.07,230.73572993170984
GROWWNET,250656,0.06,43.16246394608333
GROWWNIFTY,245138,0.06,-26.02220498721961
GROWWMOM50,232449,0.06,61.785811229354735
FLEXIADD,231300,0.06,245.68307154279566
INTERNET,215294,0.06,391.71843595834093
Healthcare Sector,213220,0.06,2.694762191450933
CASHIETF,189140,0.05,5.899084007077109
SMALL250,148836,0.04,80.0362888593202
SILVER360,147359,0.04,66.0401807344308
AONENIFTY,142061,0.04,-24.821925637416257
GROWWSC250,129210,0.03,-14.15644640508112
MOSILVER,123658,0.03,-58.608339386311684
CHEMICAL,120968,0.03,-65.87134324736844
GROWWRLTY,97795,0.03,11.911519007621358
AONETMMQ50,89778,0.02,-7.666200427842686
AXISVALUE,85490,0.02,429.31707015045504
TOP15IETF,78677,0.02,-37.205088912300866
MOENERGY,77263,0.02,90.72574672920265
MOGOLD,70311,0.02,-90.40417619161349
LTGILTCASE,64690,0.02,-9.31393164549864
AONELIQUID,62084,0.02,400.9197999031789
MOMIDMTM,47298,0.01,170.49067825689124
LIQGRWBEES,28385,0.01,-45.12536972954163
Manufacturing Sector,27337,0.01,63.626025019452925
EVIETF,27225,0.01,-75.29110661354292
CHOICEGOLD,26580,0.01,-34.43027357722575
MOMENTUM30,19717,0.01,268.12920089619115
MID150,16511,0.0,49.24523185392751
GROWWLOVOL,15392,0.0,41.081576535288725
SNXT30BEES,15178,0.0,86.09612555174105
ENERGY,14660,0.0,-15.945186629207042
MSCIADD,12477,0.0,68.17630408410838
MONIFTY100,11462,0.0,212.40119923684927
MOALPHA50,10914,0.0,116.84879793363798
Select IPO Index,9825,0.0,-60.3702807357212
MOTOUR,9426,0.0,-8.707021791767554
MONEXT50,9421,0.0,350.5499760879962
QUALITY30,7424,0.0,-43.45773038842346
GROWWNXT50,5633,0.0,31.76608187134503
MANUFGBEES,5027,0.0,109.63302752293578
ELIQUID,5023,0.0,145.263671875
MOSERVICE,4868,0.0,82.52718410198725
MOINFRA,4608,0.0,94.34837621256854
ENIFTY,3642,0.0,-52.19845124032025
ELM250,3567,0.0,-61.25353030632197
MON50EQUAL,3228,0.0,120.19099590723057
MOPSE,1652,0.0,889.2215568862275
ESENSEX,1236,0.0,103.96039603960396
EQUAL50,1127,0.0,142.36559139784944
GROWWMC150,710,0.0,-66.07740086000956
MOIPO,536,0.0,-89.02988129349161
SBILIQETF,501,0.0,-41.33489461358314
MOMGF,326,0.0,15.19434628975265
