SYMBOL,VOLUME,PERCENTAGE
Gold,17990337,16.56
Silver,15574494,14.34
PSU Bank Sector,10473908,9.64
Midcap Stocks,9311805,8.57
Largecap Stocks,6629579,6.1
Low Volatility Index,5413474,4.98
IT Sector,3929027,3.62
Pharma Sector,3495535,3.22
Banking & Finance Sector,2714147,2.5
Gsecs - Bonds,2422593,2.23
Public Sector Enterprise,2114338,1.95
Smallcap Stocks,1763376,1.62
Metal Sector,1457818,1.34
USA Market,1334875,1.23
Hong Kong Market,1080767,0.99
NBFC Sector,985884,0.91
EV Sector,828837,0.76
Healthcare Sector,818465,0.75
Oil and Gas Sector,743650,0.68
Auto Sector,560691,0.52
Defence Sector,529076,0.49
FMCG Sector,310849,0.29
Consumption Sector,88157,0.08
Reality Sector,83943,0.08
Infra Sector,71903,0.07
Commodities,65527,0.06
Manufacturing Sector,40412,0.04
