"SYMBOL 
","UNDERLYING ASSET 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)","NAV 
","52W H 
","52W L 
","30D  %CHNG 
","365 D   %CHNG 
"
"MID150CASE","Zerodha Nifty Midcap 150 ETF","11.09","11.40","10.50","10.94","11.40","-","0.46","4.20","18,16,522","2.00","10.92","12.00","7.66",-1.97,"2.24"
"MOGOLD","Domestic Price of Physical Gold","131.30","136.70","130.65","131.65","136.70","-","5.05","3.84","15,94,538","20.91","130.80","136.70","96.30",8.94,"-"
"GROWWDEFNC","Nifty India Defence Index- Total Return Index","73.37","75.41","73.10","73.37","75.41","-","2.04","2.78","2,06,462","1.54","73.59","93.89","49.83",-10.69,"6.95"
"GROWWEV","Nifty EV and New Age Automotive Index","30.57","31.28","30.56","30.56","31.28","-","0.72","2.36","1,91,406","0.59","30.65","32.22","23.00",-1.8,"0.33"
"MODEFENCE","Nifty India Defence Total Return Index","78.85","82.77","78.85","80.88","82.76","-","1.88","2.32","47,73,291","39.29","80.86","102.00","55.21",-10.53,"7.73"
"EVINDIA","Nifty EV and New Age Automotive Total Return Index","30.88","31.47","30.78","30.73","31.42","-","0.69","2.25","13,79,838","4.31","30.75","32.30","23.83",-1.82,"0.75"
"SELECTIPO","BSE Select IPO Index","45.81","46.56","45.79","45.55","46.56","-","1.01","2.22","33,789","0.16","45.56","57.75","35.40",-6.35,"-"
"EVIETF","Nifty EV & New Age Automotive ETF","30.92","31.43","30.67","30.77","31.39","-","0.62","2.01","30,818","0.10","30.71","33.75","23.56",-1.66,"-"
"CHEMICAL","Nifty Chemicals Index (TRI)","28.50","28.84","28.18","28.24","28.80","-","0.56","1.98","3,07,985","0.87","28.18","30.00","27.65",0,"-"
"MID150BEES","Nifty Midcap 150 TRI","226.86","229.70","225.31","225.25","229.70","-","4.45","1.98","11,10,332","25.23","225.55","239.00","179.00",-2.34,"1.44"
"AONETMMQ50","Nifty Total Market Momentum Quality 50 TRI","9.63","9.78","9.58","9.59","9.78","-","0.19","1.98","26,300","0.03","9.58","10.50","9.51",0,"-"
"MOIPO","BSE Select IPO Total Return Index","45.90","46.54","45.81","45.59","46.48","-","0.89","1.95","4,723","0.02","45.63","53.00","45.20",0,"-"
"GROWWRLTY","Index","10.00","10.00","9.74","9.76","9.94","-","0.18","1.84","26,603","0.03","9.75","11.30","9.52",-6.33,"-"
"MOALPHA50","Nifty Alpha 50 Total Return Index","49.88","50.49","49.86","49.58","50.49","-","0.91","1.84","20,484","0.10","49.64","54.38","46.05",-4.3,"-"
"MIDQ50ADD","Nifty Midcap 150 Quality 50 Index","244.49","248.90","243.56","244.49","248.90","-","4.41","1.80","3,208","0.08","244.22","264.64","191.97",-2.46,"-4.79"
"INTERNET","Equity Index","14.03","14.23","13.99","13.97","14.22","-","0.25","1.79","56,546","0.08","14.00","16.12","13.30",-4.12,"-"
"GROWWRAIL","Nifty India Railways PSU Index","32.51","33.09","32.51","32.51","33.09","-","0.58","1.78","2,46,797","0.81","32.43","43.66","28.72",-6.23,"-"
"MOHEALTH","Motilal Oswal S&P BSE Healthcare ETF","44.50","44.80","43.91","44.04","44.80","-","0.76","1.73","50,488","0.22","43.96","47.57","37.93",-2.5,"-1.37"
"MOVALUE","Motilal Oswal S&P BSE Enhanced Value ETF","112.50","114.18","112.26","112.19","114.10","-","1.91","1.70","65,752","0.74","112.35","117.23","85.91",-2.33,"13.17"
"MOREALTY","Motilal Oswal Nifty Realty ETF","87.37","88.60","86.81","86.94","88.42","-","1.48","1.70","3,27,130","2.87","87.02","112.76","77.00",-6.4,"-21.69"
"MOMENTUM50","Nifty 500 Momentum 50 Total Return Index","52.05","53.06","52.05","52.20","53.06","-","0.86","1.65","1,57,352","0.83","52.19","65.26","42.40",-3.15,"-14.33"
"ALPHA","NIFTY Alpha 50 Index","47.77","48.70","47.77","47.75","48.50","-","0.75","1.57","9,36,890","4.52","47.68","57.00","39.00",-3.85,"-14.84"
"HDFCSML250","HDFC NIFTY Smallcap 250 ETF","167.02","167.84","163.15","162.95","165.49","-","2.54","1.56","12,15,896","20.05","162.98","186.65","135.21",-4.81,"-10.56"
"GROWWSC250","Nifty Smallcap 250 Index - TRI","9.57","9.57","9.31","9.34","9.48","-","0.14","1.50","1,01,057","0.10","9.33","10.47","9.17",-5.08,"-"
"SMALL250","Nifty Smallcap 250","16.23","16.43","16.23","16.19","16.43","-","0.24","1.48","47,030","0.08","16.19","17.64","15.85",-4.99,"-"
"MOINFRA","BSE India Infrastructure Total Return Index","57.85","58.36","57.85","57.50","58.35","-","0.85","1.48","2,051","0.01","57.59","63.80","56.28",-5.8,"-"
"SMALLCAP","Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF","43.30","43.90","43.21","43.24","43.88","-","0.64","1.48","12,40,799","5.41","43.23","54.50","37.45",-4.53,"-17.18"
"MOSMALL250","Motilal Oswal Nifty Smallcap 250 ETF","16.67","16.67","16.24","16.27","16.51","-","0.24","1.48","7,28,426","1.19","16.25","18.60","13.22",-4.91,"-10.46"
"MOMENTUM","Aditya Birla Sun Life Nifty 200 Momentum 30 ETF","32.34","32.34","31.30","31.40","31.85","-","0.45","1.43","1,07,503","0.34","31.41","35.35","25.75",-2.73,"-10.16"
"HDFCMID150","HDFC NIFTY Midcap 150 ETF","22.11","22.50","22.11","22.11","22.42","-","0.31","1.40","2,34,825","0.52","22.11","23.35","17.51",-2.17,"1.66"
"LICNMID100","LIC MF Nifty Midcap 100 ETF","59.82","60.59","59.82","59.77","60.59","-","0.82","1.37","9,110","0.05","59.83","67.50","46.03",-0.8,"0.72"
"GROWWNET","Index","10.55","10.55","10.39","10.40","10.54","-","0.14","1.35","1,83,628","0.19","10.38","12.14","9.17",-3.53,"-"
"ELM250","Nifty LargeMidcap 250 TRI","16.67","16.83","16.57","16.61","16.83","-","0.22","1.32","6,10,730","1.02","16.55","19.20","15.89",-1.25,"-"
"GROWWPOWER","BSE Power Index - TRI","9.60","9.73","9.55","9.60","9.72","-","0.12","1.25","2,69,382","0.26","9.57","11.30","9.43",-5.42,"-"
"SML100CASE","Nifty Smallcap 100 Index","9.73","9.81","9.69","9.69","9.81","-","0.12","1.24","6,91,473","0.67","9.68","11.00","9.48",-5.46,"-"
"INFRABEES","Nifty Infra","981.83","990.00","980.51","977.40","989.39","-","11.99","1.23","11,917","1.17","976.22","1,012.71","783.98",-1.41,"8.51"
"ABSLPSE","Aditya Birla Sun Life Nifty PSE ETF","9.77","9.85","9.71","9.73","9.85","-","0.12","1.23","71,854","0.07","9.71","10.90","8.00",-5.07,"-2.31"
"NIFMID150","UTI Nifty Midcap 150 Exchange Traded Fund (ETF)","219.21","223.00","219.21","220.31","223.00","-","2.69","1.22","1,571","0.03","220.56","235.48","174.82",-2.08,"1.79"
"MOENERGY","Nifty Energy Index","34.65","34.99","34.56","34.57","34.99","-","0.42","1.21","3,07,441","1.07","34.49","37.88","33.81",-4.92,"-"
"HDFCGROWTH","HDFC NIFTY Growth Sectors 15 ETF","129.17","130.09","129.02","128.53","130.09","-","1.56","1.21","10,665","0.14","128.74","132.88","103.11",1.76,"3.65"
"AUTOIETF","Nifty Auto Index","28.27","28.44","28.03","28.10","28.44","-","0.34","1.21","3,37,110","0.96","28.08","29.06","19.72",0.07,"18.22"
"MIDCAPETF","Mirae Asset Mutual Fund - Mirae Asset Nifty Midcap 150 ETF","22.94","22.94","20.65","22.27","22.54","-","0.27","1.21","27,03,581","6.07","22.29","23.50","16.00",-2.11,"1.69"
"FINIETF","ICICI Prudential Nifty Financial Services Ex-Bank ETF","31.98","32.32","31.92","31.92","32.30","-","0.38","1.19","2,87,462","0.92","31.94","33.66","24.13",-1.51,"20.68"
"HEALTHIETF","Nifty Healthcare Index","149.23","150.90","149.23","148.94","150.70","-","1.76","1.18","66,060","0.99","148.84","157.70","128.14",-1.77,"1.62"
"AUTOBEES","Nifty Auto TRI","280.55","283.90","280.28","280.54","283.84","-","3.30","1.18","1,37,782","3.90","280.43","293.00","197.07",-0.25,"18.06"
"SMALLADD","Nifty Smallcap 250 Index","16.60","16.60","16.25","16.20","16.39","-","0.19","1.17","79,408","0.13","16.18","16.60","15.98",0,"-"
"ALPHAETF","Mirae Asset Nifty 200 Alpha 30 ETF","25.06","25.15","24.90","24.84","25.13","-","0.29","1.17","2,72,816","0.68","24.85","27.28","19.61",-3.31,"-7.69"
"MOTOUR","Nifty India Tourism Total Return Index","84.00","84.70","83.86","83.72","84.70","-","0.98","1.17","16,522","0.14","83.65","97.20","82.66",-4.9,"-"
"CPSEETF","CPSE ETF","88.20","89.34","86.06","88.27","89.28","-","1.01","1.14","5,39,796","4.80","88.16","96.16","74.90",-5.18,"-0.11"
