"SYMBOL 
","UNDERLYING ASSET 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)","NAV 
","52W H 
","52W L 
","30D  %CHNG 
","365 D 
","365 D % CHNG 
","30 D 
"
"NIFTYQLITY","Aditya Birla Sun Life Nifty 200 Quality 30 ETF","20.59","23.00","20.05","20.17","22.15","-","1.98","9.82","58,065","0.12","20.14","25.10","18.30",-5.39,"29-Jan-2024","7.57","27-Dec-2024"
"QUAL30IETF","ICICI Prudential Nifty 200 Quality 30 ETF","20.04","20.99","20.04","20.11","20.99","-","0.88","4.38","2,93,392","0.59","19.96","26.50","18.02",-4.65,"29-Jan-2024","-89.20","27-Dec-2024"
"ALPHA","NIFTY Alpha 50 Index","45.45","47.07","45.00","45.17","47.07","-","1.90","4.21","20,78,806","9.63","45.09","60.91","41.31",-16.83,"-","-","27-Dec-2024"
"MIDCAPIETF","Nifty Midcap 150","19.49","20.30","19.26","19.49","20.30","-","0.81","4.16","6,18,410","1.23","19.51","23.70","17.15",-10.02,"29-Jan-2024","-89.22","27-Dec-2024"
"MAFANG","NYSE FANG+ Total Return Index","132.01","136.39","130.95","128.60","133.70","-","5.10","3.97","10,69,791","14.39","117.77","149.39","72.89",-6.89,"29-Jan-2024","69.41","27-Dec-2024"
"MOSMALL250","Motilal Oswal Nifty Smallcap 250 ETF","15.50","15.88","15.16","15.16","15.75","-","0.59","3.89","11,22,347","1.74","15.15","19.30","13.00",-14.35,"-","-","27-Dec-2024"
"SETFNN50","Nifty Next 50","648.39","670.00","645.02","645.02","670.00","-","24.98","3.87","35,350","2.31","643.69","825.60","567.51",-11.24,"29-Jan-2024","11.54","27-Dec-2024"
"MOQUALITY","Motilal Oswal S&P BSE Quality ETF","182.46","184.88","178.80","178.12","184.88","-","6.76","3.80","1,471","0.03","177.53","222.70","164.99",-5.32,"29-Jan-2024","6.20","27-Dec-2024"
"HDFCNEXT50","HDFC NIFTY NEXT 50 ETF","61.00","63.97","61.00","61.70","63.97","-","2.27","3.68","48,940","0.31","61.55","88.00","54.28",-11.11,"29-Jan-2024","11.88","27-Dec-2024"
"MOMENTUM50","Nifty 500 Momentum 50 Total Return Index","48.80","49.70","48.00","47.95","49.70","-","1.75","3.65","2,68,687","1.32","47.81","66.00","47.27",-17.53,"-","-","27-Dec-2024"
"MOM100","Nifty Midcap 100","55.58","57.50","54.71","55.25","57.25","-","2.00","3.62","4,83,721","2.72","55.16","66.45","48.21",-9.56,"29-Jan-2024","8.18","27-Dec-2024"
"MON100","Nasdaq100","206.95","208.98","201.00","200.90","208.00","-","7.10","3.53","6,17,299","12.79","181.38","221.70","138.51",-7.64,"29-Jan-2024","41.83","27-Dec-2024"
"HDFCSML250","HDFC NIFTY Smallcap 250 ETF","153.00","157.41","152.07","152.07","157.30","-","5.23","3.44","8,57,271","13.35","151.95","189.95","133.56",-14.7,"29-Jan-2024","2.99","27-Dec-2024"
"SMALLCAP","Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF","42.32","43.19","41.62","41.70","43.13","-","1.43","3.43","14,58,856","6.21","41.68","55.25","39.24",-17.57,"-","-","27-Dec-2024"
"GROWWDEFNC","Nifty India Defence Index- Total Return Index","59.45","60.25","57.44","58.27","60.25","-","1.98","3.40","1,97,720","1.18","58.31","72.00","56.12",-11.75,"-","-","27-Dec-2024"
"ABSLPSE","Aditya Birla Sun Life Nifty PSE ETF","8.99","9.09","8.81","8.81","9.09","-","0.28","3.18","3,01,420","0.27","8.79","11.82","8.65",-8.8,"-","-","27-Dec-2024"
"MODEFENCE","Nifty India Defence Total Return Index","64.99","65.95","63.50","63.94","65.95","-","2.01","3.14","3,74,275","2.45","63.88","80.00","61.52",-11.7,"-","-","27-Dec-2024"
"MOREALTY","Motilal Oswal Nifty Realty ETF","88.06","89.08","86.20","86.33","89.04","-","2.71","3.14","2,96,317","2.62","86.24","115.79","84.10",-19.33,"-","-","27-Dec-2024"
"MID150CASE","Zerodha Nifty Midcap 150 ETF","9.49","9.70","9.40","9.41","9.70","-","0.29","3.08","6,77,609","0.65","9.40","12.97","9.11",-9.95,"-","-","27-Dec-2024"
